nu = 0.150010, gamma = 11.513954, recall = 0.089147, precision = 0.106977, auc = 0.015143, f1 = 0.097252
nu = 0.150010, gamma = 16.768329, recall = 0.089147, precision = 0.106977, auc = 0.015180, f1 = 0.097252
nu = 0.150010, gamma = 24.420531, recall = 0.089147, precision = 0.106977, auc = 0.015213, f1 = 0.097252
nu = 0.150010, gamma = 35.564803, recall = 0.089147, precision = 0.106977, auc = 0.015242, f1 = 0.097252
nu = 0.150010, gamma = 51.794747, recall = 0.089147, precision = 0.106977, auc = 0.015525, f1 = 0.097252
nu = 0.150010, gamma = 75.431201, recall = 0.089147, precision = 0.106977, auc = 0.016222, f1 = 0.097252
nu = 0.150010, gamma = 109.854114, recall = 0.089147, precision = 0.106977, auc = 0.017698, f1 = 0.097252
nu = 0.150010, gamma = 159.985872, recall = 0.104651, precision = 0.125581, auc = 0.021715, f1 = 0.114165
nu = 0.150010, gamma = 232.995181, recall = 0.108527, precision = 0.130233, auc = 0.024978, f1 = 0.118393
nu = 0.150010, gamma = 339.322177, recall = 0.120155, precision = 0.144186, auc = 0.028206, f1 = 0.131078
nu = 0.150010, gamma = 494.171336, recall = 0.120155, precision = 0.144186, auc = 0.029754, f1 = 0.131078
nu = 0.150010, gamma = 719.685673, recall = 0.135659, precision = 0.162791, auc = 0.038606, f1 = 0.147992
nu = 0.150010, gamma = 1048.113134, recall = 0.151163, precision = 0.181395, auc = 0.035296, f1 = 0.164905
nu = 0.150010, gamma = 1526.417967, recall = 0.205426, precision = 0.246512, auc = 0.051229, f1 = 0.224101
nu = 0.150010, gamma = 2222.996483, recall = 0.011628, precision = 0.013953, auc = 0.000078, f1 = 0.012685
nu = 0.150010, gamma = 3237.457543, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.150010, gamma = 4714.866363, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.150010, gamma = 6866.488450, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.150010, gamma = 10000.000000, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.200010, gamma = 0.000100, recall = 0.089147, precision = 0.106977, auc = 0.014960, f1 = 0.097252
nu = 0.200010, gamma = 0.000146, recall = 0.089147, precision = 0.106977, auc = 0.014942, f1 = 0.097252
nu = 0.200010, gamma = 0.000212, recall = 0.089147, precision = 0.106977, auc = 0.014954, f1 = 0.097252
nu = 0.200010, gamma = 0.000309, recall = 0.089147, precision = 0.106977, auc = 0.014984, f1 = 0.097252
nu = 0.200010, gamma = 0.000450, recall = 0.089147, precision = 0.106977, auc = 0.014996, f1 = 0.097252
nu = 0.200010, gamma = 0.000655, recall = 0.089147, precision = 0.106977, auc = 0.014979, f1 = 0.097252
nu = 0.200010, gamma = 0.000954, recall = 0.089147, precision = 0.106977, auc = 0.014976, f1 = 0.097252
nu = 0.200010, gamma = 0.001389, recall = 0.089147, precision = 0.106977, auc = 0.014978, f1 = 0.097252
nu = 0.200010, gamma = 0.002024, recall = 0.089147, precision = 0.106977, auc = 0.014978, f1 = 0.097252
nu = 0.200010, gamma = 0.002947, recall = 0.089147, precision = 0.106977, auc = 0.014978, f1 = 0.097252
nu = 0.200010, gamma = 0.004292, recall = 0.089147, precision = 0.106977, auc = 0.014978, f1 = 0.097252
nu = 0.200010, gamma = 0.006251, recall = 0.089147, precision = 0.106977, auc = 0.014978, f1 = 0.097252
nu = 0.200010, gamma = 0.009103, recall = 0.089147, precision = 0.106977, auc = 0.014978, f1 = 0.097252
nu = 0.200010, gamma = 0.013257, recall = 0.089147, precision = 0.106977, auc = 0.014978, f1 = 0.097252
nu = 0.200010, gamma = 0.019307, recall = 0.089147, precision = 0.106977, auc = 0.014987, f1 = 0.097252
nu = 0.200010, gamma = 0.028118, recall = 0.089147, precision = 0.106977, auc = 0.014978, f1 = 0.097252
nu = 0.200010, gamma = 0.040949, recall = 0.089147, precision = 0.106977, auc = 0.014978, f1 = 0.097252
nu = 0.200010, gamma = 0.059636, recall = 0.089147, precision = 0.106977, auc = 0.014978, f1 = 0.097252
nu = 0.200010, gamma = 0.086851, recall = 0.089147, precision = 0.106977, auc = 0.014978, f1 = 0.097252
nu = 0.200010, gamma = 0.126486, recall = 0.089147, precision = 0.106977, auc = 0.014978, f1 = 0.097252
nu = 0.200010, gamma = 0.184207, recall = 0.089147, precision = 0.106977, auc = 0.014978, f1 = 0.097252
nu = 0.200010, gamma = 0.268270, recall = 0.089147, precision = 0.106977, auc = 0.014978, f1 = 0.097252
nu = 0.200010, gamma = 0.390694, recall = 0.089147, precision = 0.106977, auc = 0.014978, f1 = 0.097252
nu = 0.200010, gamma = 0.568987, recall = 0.089147, precision = 0.106977, auc = 0.014982, f1 = 0.097252
nu = 0.200010, gamma = 0.828643, recall = 0.089147, precision = 0.106977, auc = 0.014982, f1 = 0.097252
nu = 0.200010, gamma = 1.206793, recall = 0.089147, precision = 0.106977, auc = 0.014982, f1 = 0.097252
nu = 0.200010, gamma = 1.757511, recall = 0.089147, precision = 0.106977, auc = 0.014995, f1 = 0.097252
nu = 0.200010, gamma = 2.559548, recall = 0.089147, precision = 0.106977, auc = 0.014995, f1 = 0.097252
nu = 0.200010, gamma = 3.727594, recall = 0.089147, precision = 0.106977, auc = 0.014995, f1 = 0.097252
nu = 0.200010, gamma = 5.428675, recall = 0.089147, precision = 0.106977, auc = 0.015004, f1 = 0.097252
nu = 0.200010, gamma = 7.906043, recall = 0.089147, precision = 0.106977, auc = 0.015004, f1 = 0.097252
nu = 0.200010, gamma = 11.513954, recall = 0.089147, precision = 0.106977, auc = 0.015014, f1 = 0.097252
nu = 0.200010, gamma = 16.768329, recall = 0.089147, precision = 0.106977, auc = 0.015026, f1 = 0.097252
nu = 0.200010, gamma = 24.420531, recall = 0.089147, precision = 0.106977, auc = 0.015054, f1 = 0.097252
nu = 0.200010, gamma = 35.564803, recall = 0.089147, precision = 0.106977, auc = 0.015101, f1 = 0.097252
nu = 0.200010, gamma = 51.794747, recall = 0.089147, precision = 0.106977, auc = 0.015159, f1 = 0.097252
nu = 0.200010, gamma = 75.431201, recall = 0.089147, precision = 0.106977, auc = 0.016053, f1 = 0.097252
nu = 0.200010, gamma = 109.854114, recall = 0.089147, precision = 0.106977, auc = 0.017225, f1 = 0.097252
nu = 0.200010, gamma = 159.985872, recall = 0.104651, precision = 0.125581, auc = 0.021713, f1 = 0.114165
nu = 0.200010, gamma = 232.995181, recall = 0.108527, precision = 0.130233, auc = 0.024978, f1 = 0.118393
nu = 0.200010, gamma = 339.322177, recall = 0.120155, precision = 0.144186, auc = 0.028206, f1 = 0.131078
nu = 0.200010, gamma = 494.171336, recall = 0.120155, precision = 0.144186, auc = 0.029754, f1 = 0.131078
nu = 0.200010, gamma = 719.685673, recall = 0.135659, precision = 0.162791, auc = 0.036701, f1 = 0.147992
nu = 0.200010, gamma = 1048.113134, recall = 0.151163, precision = 0.181395, auc = 0.043773, f1 = 0.164905
nu = 0.200010, gamma = 1526.417967, recall = 0.205426, precision = 0.246512, auc = 0.046775, f1 = 0.224101
nu = 0.200010, gamma = 2222.996483, recall = 0.023256, precision = 0.027907, auc = 0.000324, f1 = 0.025370
nu = 0.200010, gamma = 3237.457543, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.200010, gamma = 4714.866363, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.200010, gamma = 6866.488450, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
