group 14: size = 34, anomscore = -812.256311, anomlbl = ship, recall = 0.214286, precision = 0.352941, auc = 0.052096, f1 = 0.266667
****** M = 20, T = 14, F1-score = 0.211255
group 14: size = 34, anomscore = -715.462549, anomlbl = ship, recall = 0.214286, precision = 0.352941, auc = 0.052096, f1 = 0.266667
group 13: size = 21, anomscore = -725.884087, anomlbl = ship, recall = 0.107143, precision = 0.285714, auc = 0.020189, f1 = 0.155844
****** M = 20, T = 18, F1-score = 0.211255
group 14: size = 34, anomscore = -605.868266, anomlbl = ship, recall = 0.214286, precision = 0.352941, auc = 0.052096, f1 = 0.266667
group 4: size = 60, anomscore = -680.327614, anomlbl = ship, recall = 0.071429, precision = 0.066667, auc = 0.002432, f1 = 0.068966
****** M = 20, T = 22, F1-score = 0.167816
group 14: size = 34, anomscore = -658.609071, anomlbl = ship, recall = 0.214286, precision = 0.352941, auc = 0.052096, f1 = 0.266667
group 4: size = 60, anomscore = -743.748540, anomlbl = ship, recall = 0.071429, precision = 0.066667, auc = 0.002432, f1 = 0.068966
****** M = 20, T = 26, F1-score = 0.167816
group 14: size = 34, anomscore = -706.102729, anomlbl = ship, recall = 0.214286, precision = 0.352941, auc = 0.052096, f1 = 0.266667
group 4: size = 60, anomscore = -802.818028, anomlbl = ship, recall = 0.071429, precision = 0.066667, auc = 0.002432, f1 = 0.068966
****** M = 20, T = 30, F1-score = 0.167816
group 18: size = 23, anomscore = -915.920720, anomlbl = ship, recall = 0.053571, precision = 0.130435, auc = 0.004001, f1 = 0.075949
group 9: size = 18, anomscore = -940.849500, anomlbl = coffee, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
****** M = 22, T = 6, F1-score = 0.037975
group 18: size = 23, anomscore = -760.801585, anomlbl = ship, recall = 0.053571, precision = 0.130435, auc = 0.004001, f1 = 0.075949
group 7: size = 45, anomscore = -783.964175, anomlbl = coffee, recall = 0.305882, precision = 0.577778, auc = 0.113108, f1 = 0.400000
****** M = 22, T = 10, F1-score = 0.237975
group 20: size = 44, anomscore = -853.414174, anomlbl = coffee, recall = 0.317647, precision = 0.613636, auc = 0.127403, f1 = 0.418605
group 18: size = 23, anomscore = -899.521419, anomlbl = ship, recall = 0.053571, precision = 0.130435, auc = 0.004001, f1 = 0.075949
****** M = 22, T = 14, F1-score = 0.247277
group 15: size = 43, anomscore = -1890.302094, anomlbl = coffee, recall = 0.035294, precision = 0.069767, auc = 0.001258, f1 = 0.046875
group 18: size = 23, anomscore = -2076.256853, anomlbl = ship, recall = 0.053571, precision = 0.130435, auc = 0.004001, f1 = 0.075949
****** M = 22, T = 18, F1-score = 0.061412
group 18: size = 23, anomscore = -2104.970653, anomlbl = ship, recall = 0.053571, precision = 0.130435, auc = 0.004001, f1 = 0.075949
group 12: size = 39, anomscore = -2351.311919, anomlbl = coffee, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
****** M = 22, T = 22, F1-score = 0.037975
group 18: size = 23, anomscore = -2196.436625, anomlbl = ship, recall = 0.053571, precision = 0.130435, auc = 0.004001, f1 = 0.075949
group 12: size = 39, anomscore = -2925.358995, anomlbl = coffee, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
****** M = 22, T = 26, F1-score = 0.037975
group 15: size = 43, anomscore = -1396.081558, anomlbl = coffee, recall = 0.035294, precision = 0.069767, auc = 0.001258, f1 = 0.046875
group 18: size = 23, anomscore = -2098.330332, anomlbl = ship, recall = 0.053571, precision = 0.130435, auc = 0.004001, f1 = 0.075949
****** M = 22, T = 30, F1-score = 0.061412
group 22: size = 23, anomscore = -750.652502, anomlbl = ship, recall = 0.035714, precision = 0.086957, auc = 0.001588, f1 = 0.050633
group 21: size = 46, anomscore = -751.429017, anomlbl = coffee, recall = 0.129412, precision = 0.239130, auc = 0.016867, f1 = 0.167939
****** M = 24, T = 6, F1-score = 0.109286
group 9: size = 24, anomscore = -996.899324, anomlbl = ship, recall = 0.017857, precision = 0.041667, auc = 0.000372, f1 = 0.025000
group 12: size = 20, anomscore = -997.260571, anomlbl = coffee, recall = 0.023529, precision = 0.100000, auc = 0.001207, f1 = 0.038095
****** M = 24, T = 10, F1-score = 0.031548
group 8: size = 11, anomscore = -1042.796099, anomlbl = coffee, recall = 0.011765, precision = 0.090909, auc = 0.000535, f1 = 0.020833
group 1: size = 48, anomscore = -1092.511277, anomlbl = ship, recall = 0.232143, precision = 0.270833, auc = 0.038257, f1 = 0.250000
****** M = 24, T = 14, F1-score = 0.135417
group 1: size = 48, anomscore = -1113.418493, anomlbl = ship, recall = 0.232143, precision = 0.270833, auc = 0.038257, f1 = 0.250000
group 4: size = 46, anomscore = -1118.407109, anomlbl = ship, recall = 0.035714, precision = 0.043478, auc = 0.000785, f1 = 0.039216
****** M = 24, T = 18, F1-score = 0.144608
group 8: size = 11, anomscore = -1030.277181, anomlbl = coffee, recall = 0.011765, precision = 0.090909, auc = 0.000535, f1 = 0.020833
group 15: size = 28, anomscore = -1091.049236, anomlbl = coffee, recall = 0.023529, precision = 0.071429, auc = 0.000856, f1 = 0.035398
****** M = 24, T = 22, F1-score = 0.028116
group 2: size = 5, anomscore = -2498.647136, anomlbl = coffee, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
