nu = 0.250010, gamma = 0.489390, recall = 0.262411, precision = 0.253425, auc = 0.060389, f1 = 0.257840
nu = 0.250010, gamma = 0.727895, recall = 0.262411, precision = 0.253425, auc = 0.060455, f1 = 0.257840
nu = 0.250010, gamma = 1.082637, recall = 0.262411, precision = 0.253425, auc = 0.060471, f1 = 0.257840
nu = 0.250010, gamma = 1.610262, recall = 0.262411, precision = 0.253425, auc = 0.060551, f1 = 0.257840
nu = 0.250010, gamma = 2.395027, recall = 0.269504, precision = 0.260274, auc = 0.062512, f1 = 0.264808
nu = 0.250010, gamma = 3.562248, recall = 0.269504, precision = 0.260274, auc = 0.062682, f1 = 0.264808
nu = 0.250010, gamma = 5.298317, recall = 0.269504, precision = 0.260274, auc = 0.062863, f1 = 0.264808
nu = 0.250010, gamma = 7.880463, recall = 0.269504, precision = 0.260274, auc = 0.063280, f1 = 0.264808
nu = 0.250010, gamma = 11.721023, recall = 0.269504, precision = 0.260274, auc = 0.063966, f1 = 0.264808
nu = 0.250010, gamma = 17.433288, recall = 0.269504, precision = 0.260274, auc = 0.064737, f1 = 0.264808
nu = 0.250010, gamma = 25.929438, recall = 0.269504, precision = 0.260274, auc = 0.066523, f1 = 0.264808
nu = 0.250010, gamma = 38.566204, recall = 0.262411, precision = 0.253425, auc = 0.070403, f1 = 0.257840
nu = 0.250010, gamma = 57.361525, recall = 0.283688, precision = 0.273973, auc = 0.089355, f1 = 0.278746
nu = 0.250010, gamma = 85.316785, recall = 0.312057, precision = 0.301370, auc = 0.120847, f1 = 0.306620
nu = 0.250010, gamma = 126.896100, recall = 0.347518, precision = 0.335616, auc = 0.151639, f1 = 0.341463
nu = 0.250010, gamma = 188.739182, recall = 0.368794, precision = 0.356164, auc = 0.175461, f1 = 0.362369
nu = 0.250010, gamma = 280.721620, recall = 0.382979, precision = 0.369863, auc = 0.195526, f1 = 0.376307
nu = 0.250010, gamma = 417.531894, recall = 0.446809, precision = 0.431507, auc = 0.246552, f1 = 0.439024
nu = 0.250010, gamma = 621.016942, recall = 0.489362, precision = 0.472603, auc = 0.301499, f1 = 0.480836
nu = 0.250010, gamma = 923.670857, recall = 0.524823, precision = 0.506849, auc = 0.349403, f1 = 0.515679
nu = 0.250010, gamma = 1373.823796, recall = 0.524823, precision = 0.506849, auc = 0.166623, f1 = 0.515679
nu = 0.250010, gamma = 2043.359718, recall = 0.014184, precision = 0.013699, auc = 0.000101, f1 = 0.013937
